,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,dist_metro
40,111888.11188811187,143.0,departamento,1.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
41,7068.062827225131,191.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,1005.1553661656553
42,77397.2602739726,219.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,228.1912077406191
43,100000.0,138.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,479.52553300123526
44,59615.38461538462,130.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,280.4213062841177
45,4384.369230769231,455.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
46,102926.524,250.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,693.9197735527168
47,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,844.8652007222087
48,4969.69696969697,165.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,599.411453173178
49,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,841.6484209037942
50,74166.66666666667,240.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
51,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,753.5000414520964
52,94117.64705882352,170.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
53,83068.78306878307,189.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
54,92500.0,400.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
55,109649.12280701754,228.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
56,54482.75862068965,145.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,146.2940631597826
57,430000.0,100.0,departamento,3.0,3.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,544.7744176963721
58,59090.90909090909,110.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
59,64748.20143884892,556.0,departamento,3.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
60,76696.83257918552,221.0,departamento,3.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,361.22686069611757
61,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
62,70720.0,250.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
63,117837.52105263158,190.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,697.8651715092715
64,127272.72727272728,330.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
65,59626.66666666666,150.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,462.0350255356526
66,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
67,83390.4109589041,146.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,316.21445156783756
68,5794.223826714801,277.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,995.2739413166875
69,85919.54022988505,174.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,772.8904622854515
70,430000.0,100.0,departamento,3.0,3.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,544.7744176963721
71,111888.11188811187,143.0,departamento,1.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
72,59615.38461538462,130.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,280.4213062841177
73,5000.0,450.0,departamento,4.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,384.45064234737237
74,8000.0,450.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,624.0815881321312
75,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,844.8652007222087
76,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
77,5000.0,450.0,departamento,4.0,5.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,418.33372690183865
78,97500.0,150.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,972.1269548615057
79,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,841.6484209037942
80,76546.875,64.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
81,56192.170818505336,281.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,523.0002791193215
82,5263.1578947368425,171.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,995.2739413166875
83,7333.333333333333,750.0,departamento,4.0,4.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,215.68018835941623
84,100000.0,138.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,479.52553300123526
85,84319.52662721893,169.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,159.77477226717042
86,76546.875,64.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
87,85714.28571428571,175.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,620.4045594599659
88,7142.857142857143,350.0,departamento,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,363.29144744482244
