,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
1076,2300000,2300000,2,2,1,STA LUCIA,DEPARTAMENTO EN VENTA EN COLONIA INDUSTRIAL SAN ANTONIO AZCAPOTZALCO,SAN ANTONIO,19.5600589165,19.5600589165
1077,5450000,5450000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
1078,5100000,5100000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
1079,3800000,3800000,3,3,2,CUAJIMALPA,PRIVADA JESUS DEL MONTE CUAJIMALPA,JESUS DEL MONTE,19.366427722,19.366427722
1082,6151950,6151950,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
1083,5380000,5380000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1084,6420000,6420000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 3 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1085,4980000,4980000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1086,5280000,5280000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1087,6470000,6470000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1088,5180000,5180000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1089,8500000,8500000,3,3,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 16, CUAUHTEMOC, CDMX, 3 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
1090,6950000,6950000,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
1091,6846525,6846525,3,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 3 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
1092,6697688,6697688,3,2,1,CUAUHTEMOC,"DEPARTAMENTO EN VENTA EN RIO DANUBIO 81, CUAUHTEMOC, 3 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
