,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
113,14000000,14000000,4,3,3,COL DEL VALLE SUR,"DIVINA CASA EN CONDOMINIO EN MORAS, DEL VALLE SUR BENITO JUAREZ",BENITO JUAREZ,19.3296058799,19.3296058799
115,7500000,7500000,3,3,2,LOMAS DE SANTA FE,"SANTA FE.    ,VENTA,   EXCELENTE DEPTO,  AV  SANTA FE",SANTA FE,19.3892631023,19.3892631023
117,3849500,3849500,2,2,1,PORTALES ORIENTE,"DEPARTAMENTO EN PREVENTA EN REPUBLICAS 37, BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
118,2786945,2786945,2,2,1,ZACAHUITZCO,"DEPARTAMENTOS EN PREVENTA EN LOURDES 50, COLONIA ZACAHUITZO, 2 RECAMARAS",ZACAHUITZCO,19.3744993934,19.3744993934
120,7500000,7500000,3,3,2,LOMAS DE SANTA FE,"SANTA FE.    ,VENTA,   EXCELENTE DEPTO,  AV  SANTA FE",SANTA FE,19.3892631023,19.3892631023
121,13650000,13650000,5,4+,3,FUENTES DEL PEDREGAL,"AMPLIA CASA EN VENTA EN FUENTE DE LA LUNA, FUENTES DEL PEDREGAL TLALPAN",FUENTES DEL PEDREGAL,19.3038504522,19.3038504522
124,13650000,13650000,5,4+,2,FUENTES DEL PEDREGAL,"VENDO AMPLIA CASA EN FUENTES DEL PEDREGAL, TLAPLAN",FUENTES DEL PEDREGAL,19.3038504522,19.3038504522
125,2503650,2503650,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
126,2271100,2271100,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
127,2221180,2221180,2,1,1,OBRERA,"DEPARTAMENTO EN PREVENTA EN PARQUE CENTRAL, CUAUHTEMOC, CDMX, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
